trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
182,False,"{'a': 0.5, 'e': 0.2865907497941342}",25,1,-23.47558978531538,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 1}",1
183,False,"{'a': 0.5, 'e': 0.28536558328926315}",25,4,-14.038678918118606,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 1}",1
184,False,"{'a': 0.5, 'e': 0.28414356827121023}",20,0,-93.46394819691699,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
185,False,"{'a': 0.5, 'e': 0.28292471450702744}",20,13,2.323013593127012,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
186,False,"{'a': 0.5, 'e': 0.2817090315997901}",20,0,7.777383331859565,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
187,False,"{'a': 0.5, 'e': 0.28049652898882116}",20,0,18.87488128341095,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
188,False,"{'a': 0.5, 'e': 0.2792872159499313}",25,15,-26.20958845121127,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
189,False,"{'a': 0.5, 'e': 0.278081101595673}",20,7,-17.752363833202995,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 0}",1
190,False,"{'a': 0.5, 'e': 0.27687819487561016}",25,0,26.877019461968576,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
191,False,"{'a': 0.5, 'e': 0.2756785045766013}",25,12,-0.8823113241361085,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
192,False,"{'a': 0.5, 'e': 0.2744820393230982}",25,17,-9.056462370451595,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
193,False,"{'a': 0.5, 'e': 0.2732888075774579}",35,13,11.191150916572507,"{0: 20, 1: 1, 2: 0, 3: 1, 4: 0}",1
194,False,"{'a': 0.5, 'e': 0.2720988176402692}",25,6,-23.137565291661296,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
195,False,"{'a': 0.5, 'e': 0.27091207765069353}",30,22,5.034803819144877,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.5, 'e': 0.2697285955868184}",20,0,-1.5968132878336316,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
197,False,"{'a': 0.5, 'e': 0.268548379266026}",25,0,11.353904499849621,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
